SampleID,Description,Replicate,Sample
B1-1,Field_F5,1,1
B1-2,Field_F5,1,2
B1-3,Field_F5,1,3
B1-4,Field_F5,1,4
B2-1,Field_F5,2,1
B2-2,Field_F5,2,2
B2-3,Field_F5,2,3
B2-4,Field_F5,2,4
B3-1,Field_F5,3,1
B3-2,Field_F5,3,2
B3-3,Field_F5,3,3
B3-4,Field_F5,3,4
D1,Field_F0,1,1
D2,Field_F0,1,2
D3,Field_F0,1,3
D4,Field_F0,1,4
E1,Field_F0,2,1
E2,Field_F0,2,2
E3,Field_F0,2,3
E4,Field_F0,2,4
F1,Field_F0,3,1
F2,Field_F0,3,2
F3,Field_F0,3,3
F4,Field_F0,3,4
G1,Field_F0,4,1
G2,Field_F0,4,2
G3,Field_F0,4,3
G4,Field_F0,4,4
H1,Field_F0,5,1
H2,Field_F0,5,2
H3,Field_F0,5,3
H4,Field_F0,5,4
C1,Lab_F5,1,1
C2,Lab_F5,1,2
C3,Lab_F5,1,3
C4,Lab_F5,1,4
C5,sham,,
C6,sham,,
K4,sham,,
K1-1,Field_F10,1,1
K1-2,Field_F10,1,2
K1-3,Field_F10,1,3
K1-4,Field_F10,1,4
K2-1,Field_F10,2,1
K2-2,Field_F10,2,2
K2-3,Field_F10,2,3
K2-4,Field_F10,2,4
K3-1,Field_F10,3,1
K3-2,Field_F10,3,2
K3-3,Field_F10,3,3
K3-4,Field_F10,3,4
L1,Lab_F10,1,1
L2,Lab_F10,1,2
L3,Lab_F10,1,3
L4,Lab_F10,1,4
