sample_name,genotype,type_sample,stolon_position,ramet_position,type_ramet_id
P1n1R0R,P1N1,R,0,A,A0
R2n1R0R,R2N1,R,0,A,A0
R3n2R0R,R3N2,R,0,A,A0
ZA4n2R0R,ZA4N2,R,0,A,A0
b1n2ROR,B1N2,R,0,A,A0
b1n2r01s,B1N2,S,1,A,A1
b1n2r02s,B1N2,S,2,A,A2
b1n2sto1r1r,B1N2,R,1,B,B1
b1n2sto1r1s,B1N2,S,1,B,B1
b1n2sto1r2r,B1N2,R,1,C,C1
b1n2sto2r1r,B1N2,R,2,B,B2
b1n2sto2r1s,B1N2,S,2,B,B2
b1n2sto2r2r,B1N2,R,2,C,C2
b2n1R0R,B2N1,R,0,A,A0
b2n1r01s,B2N1,S,1,A,A1
b2n1r02s,B2N1,S,2,A,A2
b2n1sto1r1r,B2N1,R,1,B,B1
b2n1sto1r1s,B2N1,S,1,B,B1
b2n1sto1r2r,B2N1,R,1,C,C1
b2n1sto2r1r,B2N1,R,2,B,B2
b2n1sto2r1s,B2N1,S,2,B,B2
b2n1sto2r2r,B2N1,R,2,C,C2
p1n1r01s,P1N1,S,1,A,A1
p1n1r02s,P1N1,S,2,A,A2
p1n1sto1r1r,P1N1,R,1,B,B1
p1n1sto1r1s,P1N1,S,1,B,B1
p1n1sto1r2r,P1N1,R,1,C,C1
p1n1sto2r1r,P1N1,R,2,B,B2
p1n1sto2r1s,P1N1,S,2,B,B2
p1n1sto2r2r,P1N1,R,2,C,C2
r1n1ROR,R1N1,R,0,A,A0
r1n1r01s,R1N1,S,1,A,A1
r1n1r02s,R1N1,S,2,A,A2
r1n1sto1r1r,R1N1,R,1,B,B1
r1n1sto1r1s,R1N1,S,1,B,B1
r1n1sto1r2r,R1N1,R,1,C,C1
r1n1sto2r1r,R1N1,R,2,B,B2
r1n1sto2r1s,R1N1,S,2,B,B2
r1n1sto2r2r,R1N1,R,2,C,C2
r2n1r01s,R2N1,S,1,A,A1
r2n1r02s,R2N1,S,2,A,A2
r2n1st01r1r,R2N1,R,1,B,B1
r2n1sto1r1s,R2N1,S,1,B,B1
r2n1sto1r2r,R2N1,R,1,C,C1
r2n1sto2r1r,R2N1,R,2,B,B2
r2n1sto2r1s,R2N1,S,2,B,B2
r2n1sto2r2r,R2N1,R,2,C,C2
r3n2r01s,R3N2,S,1,A,A1
r3n2r02s,R3N2,S,2,A,A2
r3n2sto1r1r,R3N2,R,1,B,B1
r3n2sto1r1s,R3N2,S,1,B,B1
r3n2sto1r2r,R3N2,R,1,C,C1
r3n2sto2r1r,R3N2,R,2,B,B2
r3n2sto2r1s,R3N2,S,2,B,B2
r3n2sto2r2r,R3N2,R,2,C,C2
r4n1ROR,R4N1,R,0,A,A0
r4n1r01s,R4N1,S,1,A,A1
r4n1r02s,R4N1,S,2,A,A2
r4n1st01r1r,R4N1,R,1,B,B1
r4n1sto1r1s,R4N1,S,1,B,B1
r4n1sto1r2r,R4N1,R,1,C,C1
r4n1sto2r1r,R4N1,R,2,B,B2
r4n1sto2r1s,R4N1,S,2,B,B2
r4n1sto2r2r,R4N1,R,2,C,C2
za1n2R0R,ZA1N2,R,0,A,A0
za1n2r01s,ZA1N2,S,1,A,A1
za1n2r02s,ZA1N2,S,2,A,A2
za1n2sto1r1r,ZA1N2,R,1,B,B1
za1n2sto1r1s,ZA1N2,S,1,B,B1
za1n2sto1r2r,ZA1N2,R,1,C,C1
za1n2sto2r1r,ZA1N2,R,2,B,B2
za1n2sto2r1s,ZA1N2,S,2,B,B2
za1n2sto2r2r,ZA1N2,R,2,C,C2
za3n1ROR,ZA3N1,R,0,A,A0
za3n1r01s,ZA3N1,S,1,A,A1
za3n1r02s,ZA3N1,S,2,A,A2
za3n1sto1r1r,ZA3N1,R,1,B,B1
za3n1sto1r1s,ZA3N1,S,1,B,B1
za3n1sto1r2r,ZA3N1,R,1,C,C1
za3n1sto2r1r,ZA3N1,R,2,B,B2
za3n1sto2r1s,ZA3N1,S,2,B,B2
za3n1sto2r2r,ZA3N1,R,2,C,C2
za4n2r01s,ZA4N2,S,1,A,A1
za4n2r02s,ZA4N2,S,2,A,A2
za4n2st01r1r,ZA4N2,R,1,B,B1
za4n2sto1r1s,ZA4N2,S,1,B,B1
za4n2sto1r2r,ZA4N2,R,1,C,C1
za4n2sto2r1r,ZA4N2,R,2,B,B2
za4n2sto2r1s,ZA4N2,S,2,B,B2
za4n2sto2r2r,ZA4N2,R,2,C,C2
